2016-05-28 00:17:33.367152 I | etcdmain: etcd Version: 3.0.0-beta.0+git
2016-05-28 00:17:33.367212 I | etcdmain: Git SHA: 10ca728
2016-05-28 00:17:33.367218 I | etcdmain: Go Version: devel +795809b Fri May 27 23:39:38 2016 +0000
2016-05-28 00:17:33.367226 I | etcdmain: Go OS/Arch: linux/amd64
2016-05-28 00:17:33.367231 I | etcdmain: setting maximum number of CPUs to 8, total number of available CPUs is 8
2016-05-28 00:17:33.367288 I | etcdmain: listening for peers on http://10.240.0.23:2380
2016-05-28 00:17:33.367311 I | etcdmain: listening for client requests on 10.240.0.23:2379
2016-05-28 00:17:33.374309 I | etcdserver: name = etcd-3
2016-05-28 00:17:33.374329 I | etcdserver: data dir = /home/gyuho/data.etcd
2016-05-28 00:17:33.374339 I | etcdserver: member dir = /home/gyuho/data.etcd/member
2016-05-28 00:17:33.374345 I | etcdserver: heartbeat = 100ms
2016-05-28 00:17:33.374350 I | etcdserver: election = 1000ms
2016-05-28 00:17:33.374355 I | etcdserver: snapshot count = 10000
2016-05-28 00:17:33.374365 I | etcdserver: advertise client URLs = http://10.240.0.23:2379
2016-05-28 00:17:33.374371 I | etcdserver: initial advertise peer URLs = http://10.240.0.23:2380
2016-05-28 00:17:33.374383 I | etcdserver: initial cluster = etcd-1=http://10.240.0.21:2380,etcd-2=http://10.240.0.22:2380,etcd-3=http://10.240.0.23:2380
2016-05-28 00:17:33.376630 I | etcdserver: starting member 3e07e8086be420d2 in cluster e05fb31d21672c21
2016-05-28 00:17:33.376679 I | raft: 3e07e8086be420d2 became follower at term 0
2016-05-28 00:17:33.376694 I | raft: newRaft 3e07e8086be420d2 [peers: [], term: 0, commit: 0, applied: 0, lastindex: 0, lastterm: 0]
2016-05-28 00:17:33.376704 I | raft: 3e07e8086be420d2 became follower at term 1
2016-05-28 00:17:33.376829 I | etcdserver: no compression enabled
2016-05-28 00:17:33.389575 I | etcdserver: starting server... [version: 3.0.0-beta.0+git, cluster version: to_be_decided]
2016-05-28 00:17:33.389647 I | rafthttp: the connection with 2087a91b2ccc6d93 became active
2016-05-28 00:17:33.392009 N | etcdserver: added member 2087a91b2ccc6d93 [http://10.240.0.21:2380] to cluster e05fb31d21672c21
2016-05-28 00:17:33.392436 N | etcdserver: added member 21d3c625100d5241 [http://10.240.0.22:2380] to cluster e05fb31d21672c21
2016-05-28 00:17:33.392568 N | etcdserver: added local member 3e07e8086be420d2 [http://10.240.0.23:2380] to cluster e05fb31d21672c21
2016-05-28 00:17:33.392705 I | rafthttp: the connection with 21d3c625100d5241 became active
